tranche,vehicle_type,credit_band,loan_age_months,n_loans_in_tranche,total_orig_balance,cum_chargeoff_count,cum_chargeoff_balance,cum_net_loss,cum_co_rate_count,cum_co_rate_balance
2007-Q1,New,Super Prime,1,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,2,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,3,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,4,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,5,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,6,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,7,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,8,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,9,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,10,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,11,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,12,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,13,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,14,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,15,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,16,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,17,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,18,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,19,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,20,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,21,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,22,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,23,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,24,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,25,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,26,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,27,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,28,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,29,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,30,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,31,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,32,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,33,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,34,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,35,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,36,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,37,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,38,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,39,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,40,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,41,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,42,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,43,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,44,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,45,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,46,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,47,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,48,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,49,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,50,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,51,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,52,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,53,124,3301100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Prime,1,152,4076100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Prime,2,152,4076100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Prime,3,152,4076100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Prime,4,152,4076100.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Prime,5,152,4076100.0,0,0.0,0.0,0.0,0.0
